"filename", "language", "Properties", "Python", "C", "PowerShell", "Shell Script", "HTML", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Maxim\Downloads\ART-main\ART-main\Art\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Maxim\Downloads\ART-main\ART-main\Art\asgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Maxim\Downloads\ART-main\ART-main\Art\settings.py", "Python", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 20, 43, 170
"c:\Users\Maxim\Downloads\ART-main\ART-main\Art\urls.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Maxim\Downloads\ART-main\ART-main\Art\wsgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Maxim\Downloads\ART-main\ART-main\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Maxim\Downloads\ART-main\ART-main\manage.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\admin.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\backends.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\decorators.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\forms.py", "Python", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 95
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\migrations\0001_initial.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 61
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\migrations\0002_newspost.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\migrations\0003_customuser_role.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\migrations\0004_alter_customuser_username.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\migrations\0005_customuser_vk_link.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\migrations\0006_newspostphoto.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\models.py", "Python", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31, 183
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\add.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 16, 116
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\admin.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 29, 186
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 1, 13, 105
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\complet_profile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 1, 31, 266
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\detail.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 3, 21, 137
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\news.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 6, 16, 107
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\news_update.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 4, 14, 98
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\static\css\participants.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 1, 16, 113
